DATE,OPEN,HIGH,LOW,CLOSE
1/4/2010,21.68,21.68,20.03,20.04
1/5/2010,20.05,20.13,19.34,19.35
1/6/2010,19.59,19.68,18.77,19.16
1/7/2010,19.68,19.71,18.7,19.06
1/8/2010,19.27,19.27,18.11,18.13
1/11/2010,16.93,17.74,16.86,17.55
1/12/2010,17.95,19.46,17.95,18.25
1/13/2010,17.94,18.72,17.56,17.85
1/14/2010,18.16,18.27,17.38,17.63
1/15/2010,17.63,19.02,17.63,17.91
1/19/2010,18.63,18.85,17.33,17.58
1/20/2010,18.51,19.69,18.44,18.68
1/21/2010,18.59,22.3,18.27,22.27
1/22/2010,22.27,28.01,22.27,27.31
1/25/2010,27.32,27.32,24.61,25.41
1/26/2010,26.03,26.22,22.77,24.55
1/27/2010,24.81,25.69,23.14,23.14
1/28/2010,22.79,25.3,22.69,23.73
1/29/2010,23.73,25.03,22.11,24.62
2/1/2010,24.33,24.33,22.58,22.59
2/2/2010,22.59,22.99,21.08,21.48
2/3/2010,22.11,22.11,21.33,21.6
2/4/2010,22.63,26.32,22.63,26.08
2/5/2010,25.69,29.22,25.37,26.11
2/8/2010,26.11,27.11,25.48,26.51
2/9/2010,26.51,26.56,24.78,26
2/10/2010,26.36,26.77,24.8,25.4
2/11/2010,25.82,26.11,23.87,23.96
2/12/2010,23.96,25.54,22.73,22.73
2/16/2010,23.51,23.57,22.13,22.25
2/17/2010,22.25,22.6,21.7,21.72
2/18/2010,21.72,22.21,20.6,20.63
2/19/2010,21.07,21.14,19.71,20.02
2/22/2010,20.16,21,19.59,19.94
2/23/2010,20.39,21.94,20.06,21.37
2/24/2010,21.23,21.58,20.22,20.27
2/25/2010,22.03,22.68,20.06,20.1
2/26/2010,19.88,20.53,19.32,19.5
3/1/2010,19.93,19.94,19.18,19.26
3/2/2010,18.83,19.36,18.6,19.06
3/3/2010,18.95,19.3,18.42,18.83
3/4/2010,18.86,19.27,18.58,18.72
3/5/2010,18.06,18.15,17.23,17.42
3/8/2010,17.95,17.96,17.56,17.79
3/9/2010,18.18,18.19,17.51,17.92
3/10/2010,18,18.6,17.43,18.57
3/11/2010,18.9,19.34,18.06,18.06
3/12/2010,17.97,18.53,17.58,17.58
3/15/2010,18.28,18.78,17.96,18
3/16/2010,17.78,18.01,17.42,17.69
3/17/2010,16.97,17.17,16.52,16.91
3/18/2010,16.96,16.99,16.31,16.62
3/19/2010,16.17,17.57,16.17,16.97
3/22/2010,18.3,18.34,16.77,16.87
3/23/2010,16.84,17.09,16.21,16.35
3/24/2010,16.85,17.92,16.83,17.55
3/25/2010,17.07,18.54,16.62,18.4
3/26/2010,18.27,18.69,17.35,17.77
3/29/2010,18.17,18.28,17.57,17.59
3/30/2010,17.64,18.08,17.13,17.13
3/31/2010,17.66,17.92,17.29,17.59
4/1/2010,17.01,18.09,16.79,17.47
4/5/2010,17.96,18.16,17.02,17.02
4/6/2010,17.39,17.54,16.08,16.23
4/7/2010,16.72,17.21,16.16,16.62
4/8/2010,17.21,17.8,16.3,16.48
4/9/2010,16.32,16.65,16.06,16.14
4/12/2010,15.67,16,15.23,15.58
4/13/2010,15.98,16.77,15.81,16.2
4/14/2010,15.8,16.38,15.55,15.59
4/15/2010,15.87,16.5,15.68,15.89
4/16/2010,16.19,19.7,16.11,18.36
4/19/2010,19.14,19.55,17.34,17.34
4/20/2010,16.84,16.89,15.73,15.73
4/21/2010,15.94,16.85,15.5,16.32
4/22/2010,17.48,18.19,16.2,16.47
4/23/2010,16.62,16.71,16.12,16.62
4/26/2010,17.52,17.53,17.07,17.47
4/27/2010,18.13,23.2,17.94,22.81
4/28/2010,22.08,23.03,20.86,21.08
4/29/2010,20.37,20.37,18.44,18.44
4/30/2010,18.75,22.39,18.41,22.05
5/3/2010,22.41,22.41,19.61,20.19
5/4/2010,22.46,25.7,22.46,23.84
5/5/2010,25.96,27.23,23.75,24.91
5/6/2010,25.88,40.71,24.43,32.8
5/7/2010,32.76,42.15,31.71,40.95
5/10/2010,28.65,30.89,25.68,28.84
5/11/2010,31.04,31.04,25.86,28.32
5/12/2010,26.56,26.67,24.98,25.52
5/13/2010,26.17,26.85,24.3,26.68
5/14/2010,28.4,33.24,28.4,31.24
5/17/2010,31.33,35.25,30.76,30.84
5/18/2010,28.67,34.17,28.09,33.55
5/19/2010,34.65,38.42,33.07,35.32
5/20/2010,41.79,46.37,40.3,45.79
5/21/2010,47.66,48.2,38.95,40.1
5/24/2010,41.74,41.74,35.57,38.32
5/25/2010,43.15,43.74,34.59,34.61
5/26/2010,32.54,35.02,24.1,35.02
5/27/2010,30.24,31.03,29.54,29.68
5/28/2010,30.23,33.3,29.53,32.07
6/1/2010,34.87,35.68,31.82,35.54
6/2/2010,34.39,34.57,29.94,30.17
6/3/2010,29.65,31.2,29.12,29.46
6/4/2010,32.93,36.12,31.81,35.48
6/7/2010,35.66,36.8,34.43,36.57
6/8/2010,36.53,37.38,33.36,33.7
6/9/2010,32.33,34.12,30.23,33.73
6/10/2010,31,31.77,29.69,30.57
6/11/2010,31.79,31.79,28.6,28.79
